short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0485,64x64x32_relu_adam_lr0.005_wd0.005_do0.2_bs32_ns0.01,64x64x32,3,160,relu,adam,0.005,0.005,0.2,32,0.01,,,,23.402842597696132,1.1089419535460057,22.880473752976986,0.5223688447191464,42.6,22.749796251461927,25.365879731158355,7.512577295303345
C0234,64x32_relu_adam_lr0.01_wd0.005_do0.2_bs32_ns0.05,64x32,2,96,relu,adam,0.01,0.005,0.2,32,0.05,,,,23.40883340565515,0.7844104595051479,23.025625568056693,0.38320783759845867,30.6,22.627000109863204,24.64235992431976,3.949496269226074
C0600,64x64x32_tanh_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0.05_momentum0.9_nesterovTrue,64x64x32,3,160,tanh,nesterov,0.01,0.001,0.1,32,0.05,0.9,True,,23.410884582481913,0.48776694815591337,22.540675299079986,0.8702092834019268,57.2,22.791260033434913,23.77918393627268,7.493370056152344
C0006,64_relu_adam_lr0.01_wd0.001_do0.1_bs32_ns0.05,64,1,64,relu,adam,0.01,0.001,0.1,32,0.05,,,,23.424497475259344,0.645891811296429,22.184678482008135,1.239818993251209,34.2,22.66256690632816,24.09338524122913,3.608999490737915
C0337,64x32_relu_nesterov_lr0.01_wd0.005_do0.1_bs32_ns0_momentum0.9_nesterovTrue,64x32,2,96,relu,nesterov,0.01,0.005,0.1,32,0.0,0.9,True,,23.427636732856882,0.7395876495622692,22.798635588598238,0.6290011442586447,54.0,22.650147204633523,24.45849121326778,5.166363477706909
C0320,64x32_tanh_adam_lr0.005_wd0.005_do0.1_bs32_ns0.01,64x32,2,96,tanh,adam,0.005,0.005,0.1,32,0.01,,,,23.42817924757179,0.5407484737596153,22.797070253865506,0.6311089937062846,36.6,23.012229184228683,24.361964180027886,5.145288944244385
C0539,64x64x32_tanh_adam_lr0.005_wd0.005_do0.2_bs32_ns0.01,64x64x32,3,160,tanh,adam,0.005,0.005,0.2,32,0.01,,,,23.433362663922093,0.7529992636821231,22.82892170418346,0.604440959738632,60.8,22.567495077747832,24.64377678216431,9.896973848342896
C0015,64_relu_adam_lr0.01_wd0.005_do0.1_bs32_ns0.05,64,1,64,relu,adam,0.01,0.005,0.1,32,0.05,,,,23.44205083417839,0.9472661791535021,22.29060923365595,1.151441600522439,44.8,22.233125992724904,24.605309662012857,4.349745273590088
C0383,64x32_tanh_nesterov_lr0.01_wd0.001_do0.1_bs32_ns0.01_momentum0.9_nesterovTrue,64x32,2,96,tanh,nesterov,0.01,0.001,0.1,32,0.01,0.9,True,,23.443905399408177,0.5367111826096942,22.56702977426016,0.876875625148017,66.4,22.837627731666664,23.90664720036216,6.430398941040039
C0293,64x32_tanh_adam_lr0.001_wd0.001_do0.1_bs32_ns0.01,64x32,2,96,tanh,adam,0.001,0.001,0.1,32,0.01,,,,23.45281213743796,0.6220443694004605,22.520402196035594,0.9324099414023657,86.4,22.856003617926277,24.25601278928496,10.440906524658203
C0424,64x32_tanh_nesterov_lr0.005_wd0.005_do0_bs32_ns0_momentum0.9_nesterovTrue,64x32,2,96,tanh,nesterov,0.005,0.005,0.0,32,0.0,0.9,True,,23.459610340302532,0.9623092648052975,22.39521433491678,1.0643960053857526,89.2,22.40132267270521,24.654607266385266,7.1700732707977295
C0047,64_relu_adam_lr0.005_wd0.005_do0_bs32_ns0.01,64,1,64,relu,adam,0.005,0.005,0.0,32,0.01,,,,23.469491880328384,0.8563235969964071,22.510797083118455,0.9586947972099296,40.2,22.584272071035496,24.54163686424811,3.871381998062134
C0045,64_relu_adam_lr0.005_wd0.001_do0.2_bs32_ns0.05,64,1,64,relu,adam,0.005,0.001,0.2,32,0.05,,,,23.470146584373346,0.8551719610541727,22.341209055140595,1.1289375292327506,47.0,22.53993516047874,24.783596414714502,4.558030128479004
C0463,64x64x32_relu_adam_lr0.001_wd0.005_do0.1_bs32_ns0,64x64x32,3,160,relu,adam,0.001,0.005,0.1,32,0.0,,,,23.471261274101845,1.6428748089174754,22.74139667340434,0.7298646006975069,64.2,22.195621389834127,26.289468603728203,10.030770540237427
C0635,64x64x32_tanh_nesterov_lr0.005_wd0.001_do0.1_bs32_ns0.01_momentum0.9_nesterovTrue,64x64x32,3,160,tanh,nesterov,0.005,0.001,0.1,32,0.01,0.9,True,,23.474438648614033,1.0612345216774408,22.570198347270757,0.9042403013432754,89.2,22.341287610750822,25.17788000198737,9.475778818130493
