short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0092,256x128x64_gelu_adamw_lr0.005_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adamw,mee,0.005,0.001,0.0,32,0.0,,,,20.86272877234247,0.8352921973872072,15.99935879494465,4.863369977397822,25.2,19.90361816184323,21.76270305844876,6.012944221496582
C0096,256x128x64_gelu_adamw_lr0.005_wd0.01_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adamw,mee,0.005,0.01,0.0,32,0.0,,,,20.871493330142037,0.8114035937655161,15.65731414787037,5.214179182271668,27.6,19.86337147528074,21.68172766774554,6.585371732711792
C0074,256x128x64_gelu_adam_lr0.003_wd0.005_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adam,mee,0.003,0.005,0.0,32,0.0,,,,20.935404773346274,0.8723037557698048,19.06191332461787,1.8734914487284051,34.8,19.890783748996007,21.745632099291885,7.639424800872803
C0054,128x128x64_gelu_adamw_lr0.01_wd0.005_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.01,0.005,0.0,32,0.0,,,,20.956887593700465,1.330545410311181,16.348692607496194,4.608194986204271,19.2,19.163258100709616,22.320707759737836,4.762301206588745
C0038,128x128x64_gelu_adamw_lr0.005_wd0.05_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.005,0.05,0.0,32,0.0,,,,20.978611087213412,1.0359297011093511,17.03696838916685,3.941642698046561,22.6,19.550508302929327,22.186254171095136,5.111026763916016
C0058,128x128x64_gelu_adamw_lr0.01_wd0.05_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.01,0.05,0.0,32,0.0,,,,21.019501491309313,1.3196655589877917,16.795791424511417,4.223710066797896,20.6,19.495237740288253,22.16990763015159,4.8833091259002686
C0056,128x128x64_gelu_adamw_lr0.01_wd0.01_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.01,0.01,0.0,32,0.0,,,,21.01992284984161,1.2683549924907205,17.215249548443126,3.804673301398484,17.8,19.186247096986012,22.241865673481737,4.4401514530181885
C0014,128x128x64_gelu_adam_lr0.003_wd0.005_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adam,mee,0.003,0.005,0.0,32,0.0,,,,21.092164869449796,0.9362363698034711,19.424376263363875,1.6677886060859208,30.6,19.701172614377626,22.04142234224384,6.315730571746826
C0040,128x128x64_gelu_adamw_lr0.005_wd0.1_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.005,0.1,0.0,32,0.0,,,,21.105518258215824,0.9044564364045924,18.316830346762195,2.7886879114536285,17.0,19.766624781562356,22.037066012368115,4.252346754074097
C0004,128x128x64_gelu_adam_lr0.005_wd0.005_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adam,mee,0.005,0.005,0.0,32,0.0,,,,21.1865991101074,0.8222194300243187,19.836684089805203,1.3499150203021983,35.0,19.96893560941451,21.79062112186868,4.712985277175903
